train_index,tree,error
0.0,0.0,0.338531
0.0,1.0,0.310103
0.0,2.0,0.271463
0.0,3.0,0.259545
0.0,4.0,0.243407
0.0,5.0,0.235141
0.0,6.0,0.226285
0.0,7.0,0.225716
0.0,8.0,0.224185
0.0,9.0,0.225038
0.0,10.0,0.219287
0.0,11.0,0.212049
0.0,12.0,0.211284
0.0,13.0,0.205248
0.0,14.0,0.202887
0.0,15.0,0.20422
0.0,16.0,0.205904
0.0,17.0,0.201137
0.0,18.0,0.200197
0.0,19.0,0.199759
0.0,20.0,0.198579
0.0,21.0,0.196567
0.0,22.0,0.194008
0.0,23.0,0.193134
0.0,24.0,0.19075
0.0,25.0,0.189963
0.0,26.0,0.192499
0.0,27.0,0.192018
0.0,28.0,0.192281
0.0,29.0,0.190903
0.0,30.0,0.190072
0.0,31.0,0.189832
0.0,32.0,0.189219
0.0,33.0,0.191931
0.0,34.0,0.189547
0.0,35.0,0.188935
0.0,36.0,0.186901
0.0,37.0,0.187798
0.0,38.0,0.188498
0.0,39.0,0.191712
0.0,40.0,0.18981
0.0,41.0,0.188563
0.0,42.0,0.188869
0.0,43.0,0.189394
0.0,44.0,0.187754
0.0,45.0,0.187557
0.0,46.0,0.187579
0.0,47.0,0.187404
0.0,48.0,0.185939
0.0,49.0,0.186355
0.0,50.0,0.185065
0.0,51.0,0.185349
0.0,52.0,0.184255
0.0,53.0,0.183709
0.0,54.0,0.184649
0.0,55.0,0.183818
0.0,56.0,0.183949
0.0,57.0,0.183665
0.0,58.0,0.181719
0.0,59.0,0.182965
0.0,60.0,0.183184
0.0,61.0,0.182528
0.0,62.0,0.183031
0.0,63.0,0.183578
0.0,64.0,0.18255
0.0,65.0,0.182572
0.0,66.0,0.1829
0.0,67.0,0.18126
0.0,68.0,0.181281
0.0,69.0,0.181609
0.0,70.0,0.181741
0.0,71.0,0.181763
0.0,72.0,0.181719
0.0,73.0,0.181763
0.0,74.0,0.181631
0.0,75.0,0.182047
0.0,76.0,0.182659
0.0,77.0,0.181325
0.0,78.0,0.181281
0.0,79.0,0.181435
0.0,80.0,0.180538
0.0,81.0,0.180319
0.0,82.0,0.180297
0.0,83.0,0.181544
0.0,84.0,0.181588
0.0,85.0,0.180276
0.0,86.0,0.179926
0.0,87.0,0.179401
0.0,88.0,0.178963
0.0,89.0,0.178723
0.0,90.0,0.17881
0.0,91.0,0.178439
0.0,92.0,0.178329
0.0,93.0,0.178592
0.0,94.0,0.179138
0.0,95.0,0.180516
0.0,96.0,0.180385
0.0,97.0,0.181106
0.0,98.0,0.181128
0.0,99.0,0.180538
1.0,0.0,0.286063
1.0,1.0,0.241893
1.0,2.0,0.240364
1.0,3.0,0.2506
1.0,4.0,0.230362
1.0,5.0,0.221911
1.0,6.0,0.226094
1.0,7.0,0.239154
1.0,8.0,0.234355
1.0,9.0,0.23788
1.0,10.0,0.236712
1.0,11.0,0.231212
1.0,12.0,0.234079
1.0,13.0,0.224544
1.0,14.0,0.223886
1.0,15.0,0.220722
1.0,16.0,0.221847
1.0,17.0,0.223673
1.0,18.0,0.219299
1.0,19.0,0.220488
1.0,20.0,0.21881
1.0,21.0,0.218917
1.0,22.0,0.219108
1.0,23.0,0.215752
1.0,24.0,0.217919
1.0,25.0,0.214861
1.0,26.0,0.21227
1.0,27.0,0.211675
1.0,28.0,0.210295
1.0,29.0,0.208214
1.0,30.0,0.207386
1.0,31.0,0.203542
1.0,32.0,0.203563
1.0,33.0,0.201801
1.0,34.0,0.199826
1.0,35.0,0.199274
1.0,36.0,0.201334
1.0,37.0,0.202098
1.0,38.0,0.203308
1.0,39.0,0.201737
1.0,40.0,0.202119
1.0,41.0,0.202183
1.0,42.0,0.202502
1.0,43.0,0.202417
1.0,44.0,0.199635
1.0,45.0,0.197702
1.0,46.0,0.19628
1.0,47.0,0.196152
1.0,48.0,0.196959
1.0,49.0,0.197978
1.0,50.0,0.199805
1.0,51.0,0.199656
1.0,52.0,0.199422
1.0,53.0,0.197193
1.0,54.0,0.198892
1.0,55.0,0.197809
1.0,56.0,0.197639
1.0,57.0,0.198424
1.0,58.0,0.19955
1.0,59.0,0.198
1.0,60.0,0.198594
1.0,61.0,0.198531
1.0,62.0,0.198233
1.0,63.0,0.198637
1.0,64.0,0.198042
1.0,65.0,0.197893
1.0,66.0,0.197617
1.0,67.0,0.197809
1.0,68.0,0.198594
1.0,69.0,0.198361
1.0,70.0,0.199507
1.0,71.0,0.19938
1.0,72.0,0.200293
1.0,73.0,0.20299
1.0,74.0,0.20282
1.0,75.0,0.202714
1.0,76.0,0.201695
1.0,77.0,0.201843
1.0,78.0,0.201673
1.0,79.0,0.201397
1.0,80.0,0.202374
1.0,81.0,0.202459
1.0,82.0,0.202395
1.0,83.0,0.202162
1.0,84.0,0.203032
1.0,85.0,0.203308
1.0,86.0,0.203011
1.0,87.0,0.201843
1.0,88.0,0.201737
1.0,89.0,0.201376
1.0,90.0,0.202714
1.0,91.0,0.204774
1.0,92.0,0.204774
1.0,93.0,0.205029
1.0,94.0,0.205708
1.0,95.0,0.204264
1.0,96.0,0.204179
1.0,97.0,0.203861
1.0,98.0,0.202884
1.0,99.0,0.202502
